No GPU on this node, CUDA module not loaded
Running on 1 core...
10303, 17.624521843253685, 6.581219065479167, 55.59736902385549, 34.55283222618541
10306, 14.258893700182162, 7.368904347614289, 37.096631336541584, 55.58589944200053
1031, 12.153728902173967, 6.847766267718377, 25.77233840304182, 66.4448669201521
10311, 16.352129462473684, 6.581736843148964, 48.19244327726122, 41.00007097735822
10312, 16.43299139459934, 6.4537715269629805, 47.64401017521337, 41.26310534198702
10315, 16.71792534309659, 6.396649526447232, 49.795688696560866, 39.0241288299996
10316, 15.963955489931323, 6.60324101810226, 44.95120351672327, 43.614900621400324
10318, 17.494981314885244, 6.315941970274117, 56.69512066603436, 32.08346506481189
10323, 14.294682420127744, 7.366448501699157, 38.07162799653413, 53.329482365777736
10324, 16.409035201830466, 7.020615712907616, 49.327496510595104, 41.42399441695216
10330, 14.981199775110316, 7.182183056906019, 40.825848417149196, 49.59801820696364
Total time for 100 floor plans: 23.33 seconds

------------------------------------------------------------
Sender: LSF System <lsfadmin@hpc.dtu.dk>
Subject: Job 28297446: <simulate_100_floors_dynamic_numba> in cluster <dcc> Done

Job <simulate_100_floors_dynamic_numba> was submitted from host <n-62-30-4> by user <s194591> in cluster <dcc> at Sun Apr 26 21:31:23 2026
Job was executed on host(s) <16*n-62-11-56>, in queue <hpc>, as user <s194591> in cluster <dcc> at Sun Apr 26 21:31:24 2026
</zhome/c2/2/146508> was used as the home directory.
</zhome/c2/2/146508/PythonHPC/Project> was used as the working directory.
Started at Sun Apr 26 21:31:24 2026
Terminated at Sun Apr 26 21:39:45 2026
Results reported at Sun Apr 26 21:39:45 2026

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#!/bin/sh 
### General options 

### -- specify queue -- 
#BSUB -q hpc

### -- set the job Name -- 
#BSUB -J simulate_100_floors_dynamic_numba

### -- ask for number of cores (default: 1) --
#BSUB -n 16

### -- specify that the cores must be on the same host -- 
#BSUB -R "span[hosts=1]"

### -- specify that we need X amount of memory per core/slot -- 
#BSUB -R "rusage[mem=1GB]"

#BSUB -R "select[model == XeonGold6226R]"

### -- set walltime limit: hh:mm -- 
#BSUB -W 01:30

### -- set the email address -- (uncomment and set your email address if needed)
##BSUB -u your_email_address

### -- send notification at start -- (uncomment if needed)
##BSUB -B 

### -- send notification at completion -- (uncomment if needed)
##BSUB -N 

### -- Specify the output and error file. %J is the job-id -- 
### -- -o and -e mean append, -oo and -eo mean overwrite -- 
#BSUB -o logs/simulate_100_floors_dynamic_numba.out 
#BSUB -e logs/simulate_100_floors_dynamic_numba.err 

source /dtu/projects/02613_2025/conda/conda_init.sh
conda activate 02613_2026

echo "Running on 1 core..."
python -u simulate_dynamic_numba.py 100 1

echo "Running on 2 cores..."
python -u simulate_dynamic_numba.py 100 2

echo "Running on 4 cores..."
python -u simulate_dynamic_numba.py 100 4

echo "Running on 8 cores..."

(... more ...)
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   1307.85 sec.
    Max Memory :                                 542 MB
    Average Memory :                             476.33 MB
    Total Requested Memory :                     16384.00 MB
    Delta Memory :                               15842.00 MB
    Max Swap :                                   -
    Max Processes :                              12
    Max Threads :                                16
    Run time :                                   501 sec.
    Turnaround time :                            502 sec.

The output (if any) is above this job summary.



PS:

Read file <logs/simulate_100_floors_dynamic_numba.err> for stderr output of this job.

